member_a,member_b,metric
A000014,A000022,9.93661971830986
A000014,A000055,1.3916083916083917
A000014,A000358,2.2291666666666665
A000014,A000361,2.41726618705036
A000014,A000357,11.951048951048952
A000014,A000362,8.92517006802721
A000014,A000210,12.948148148148148
A000014,A000363,12.952054794520548
A000014,B001234,8.944444444444445
A000014,B001256,0.2328767123287671
A000014,B000013,3.369565217391304
A000014,B001229,11.917241379310346
A000014,B000072,0.3402061855670103
A000014,B001230,10.931972789115646
A000014,B001239,0.19858156028368795
A000014,B001252,8.843537414965986
A000014,B000208,1.36986301369863
A000014,B000213,0.2986111111111111
A000014,B001253,5.86013986013986
A000014,B000287,8.9375
A000014,B001231,11.914893617021276
A000014,B000410,10.940298507462687
A000014,B000420,6.889655172413793
A000014,B001232,3.489655172413793
A000014,B000461,3.352112676056338
A000014,B001257,0.45517241379310347
A000014,B001250,0.34057971014492755
A000014,B001242,10.931034482758621
A000014,B000490,8.92361111111111
A000014,B001243,0.22142857142857142
A000014,B000574,10.904109589041095
A000014,B000575,1.2517482517482517
A000014,B000589,0.2222222222222222
A000014,B001244,2.338129496402878
A000014,B001228,3.571428571428571
A000014,B001236,0.410958904109589
A000014,B001245,9.0
A000014,B001254,4.7769784172661875
A000014,B000652,10.916083916083917
A000014,B000657,6.942446043165468
A000014,B001255,0.4068965517241379
A000014,B000716,5.892857142857143
A000014,B001258,4.890410958904109
A000014,B000755,1.2733812949640289
A000014,B001227,10.946969696969697
A000014,B001259,12.936170212765958
A000014,B001262,0.11494252873563218
A000014,B000911,12.934306569343066
A000014,B001235,1.380281690140845
A000014,B001247,3.470149253731343
A000014,B001260,1.5517241379310345
A000014,B001248,0.3120567375886525
A000014,B001149,0.25874125874125875
A000014,B001251,8.93006993006993
A000014,B001203,0.3492063492063492
A000014,C000059,1.362962962962963
A000014,C000071,0.38461538461538464
A000014,C001064,0.14492753623188406
A000014,C000116,0.2518518518518518
A000014,C001046,0.23703703703703705
A000014,C001047,3.678082191780822
A000014,C001036,11.938775510204081
A000014,C001037,11.92517006802721
A000014,C001050,8.906474820143885
A000014,C001060,11.958620689655172
A000014,C001065,6.902777777777778
A000014,C000191,9.945945945945946
A000014,C001072,4.918918918918919
A000014,C001051,0.2733812949640288
A000014,C000243,3.673469387755102
A000014,C001066,8.937062937062937
A000014,C001073,0.8620689655172413
A000014,C000266,1.3904109589041096
A000014,C001058,10.931972789115646
A000014,C001074,0.8620689655172413
A000014,C000380,8.0
A000014,C001067,11.917293233082706
A000014,C001049,8.950354609929079
A000014,C001061,14.951048951048952
A000014,C000537,8.944444444444445
A000014,C000556,2.2857142857142856
A000014,C001068,10.944827586206896
A000014,C001053,2.4027777777777777
A000014,C001062,0.2465753424657534
A000014,C000714,11.934306569343066
A000014,C000754,6.858156028368795
A000014,C001059,7.916083916083916
A000014,C000794,8.924137931034483
A000014,C001069,10.945578231292517
A000014,C000868,6.900709219858156
A000014,C001045,0.38235294117647056
A000014,C001038,9.924657534246576
A000014,C000962,2.217948717948718
A000014,C001063,7.8979591836734695
A000014,C001048,0.2112676056338028
A000014,C000984,12.95138888888889
A000014,D000598,10.944444444444445
A000014,D000597,1.5333333333333332
A000014,D000136,3.5357142857142856
A000014,D000603,1.3263888888888888
A000014,D000606,0.296551724137931
A000014,D000096,11.938775510204081
A000014,D000602,11.91156462585034
A000014,D000599,8.86111111111111
A000014,D000168,0.2028985507246377
A000014,D000191,11.944055944055943
A000014,D000197,8.957142857142857
A000014,D000210,16.93984962406015
A000014,D000216,11.945578231292517
A000014,D000604,3.691780821917808
A000014,D000600,1.5985915492957745
A000014,D000299,3.6041666666666665
A000014,D000327,6.930555555555555
A000014,D000355,9.943262411347519
A000014,D000399,10.928057553956835
A000014,D000607,2.8979591836734695
A000014,D000429,0.3006993006993007
A000014,D000482,8.94890510948905
A000014,D000605,1.3655172413793104
A000014,D000492,1.3093525179856116
A000014,D000533,0.22602739726027396
A000014,E000063,6.904109589041096
A000014,E000290,0.8636363636363636
A000014,E000092,3.528169014084507
A000014,E000288,11.916083916083917
A000014,E000289,4.876712328767123
A000014,E000287,9.929577464788732
A000014,E000172,3.611111111111111
A000014,E000179,9.947368421052632
A000014,E000187,4.641379310344828
